No,Busstop name,Street,公交车站站名,街道名
58091,Sembawang Pk,Sembawang Rd,Sembawang Pk,三巴旺路
22051,Opp Sembawang Kimtrans,Jln Buroh,Sembawang Kimtrans对面,惹兰布罗
22059,Sembawang Kimtrans,Jln Buroh,Sembawang Kimtrans,惹兰布罗
58009,Sembawang Int,Sembawang Vista,Sembawang Int,三巴旺景路
57131,Seletaris Condo,Sembawang Rd,Seletaris Condo,三巴旺路
68021,Bef Seletar West F'way 4,Jln Kayu,Seletar West F'way 4对面,惹兰加由
68029,Aft Seletar West F'way 2,Jln Kayu,Seletar West F'way 2对面,惹兰加由
68169,Opp Seletar W Camp G 3,West Camp Rd,Seletar W Camp G 3对面,西兵营路
48089,Upp Seletar Reservoir,Mandai Rd,Seletar Reservoir对面,万礼路
68141,Opp Seletar Airport,West Camp Rd,Seletar Airport对面,西兵营路
68149,Seletar Airport,West Camp Rd,Seletar Airport,西兵营路
7021,Selegie Ctr,Selegie Rd,Selegie Ctr,实利基路
97089,Opp Selarang Pk Drug Reh.,Loyang Way,Selarang Pk Drug Reh.对面,罗央大道
97081,Selarang Pk Drug Reh.,Loyang Way,Selarang Pk Drug Reh.,罗央大道
97079,Opp Selarang Camp,Upp Changi Rd Nth,Selarang Camp对面,樟宜路北上段
97071,Selarang Camp,Upp Changi Rd Nth,Selarang Camp,樟宜路北上段
93129,Bef Sekolah Indonesia,Siglap Rd,Sekolah Indonesia对面,实乞纳路
93121,Opp Sekolah Indonesia,Siglap Rd,Sekolah Indonesia对面,实乞纳路
22171,Opp Secura S'pore,Pioneer Rd Nth,Secura S'pore对面,北先驱路
23179,Aft Second Lok Yang Rd,Intl Rd,Second Lok Yang Rd对面,国际路
21579,Jurong Sec Sch,Corporation Dr,Sec Sch对面,企业通道
65381,Punggol Sec Sch,Edgefield Plains,Sec Sch对面,临原坪
10341,Henderson Sec Sch,Henderson Rd,Sec Sch对面,亨德申路
20259,C'wealth Sec Sch,Jurong Town Hall Rd,Sec Sch对面,裕廊镇大会堂路
28601,Yuhua Sec Sch,Jurong West St 41,Sec Sch对面,裕廊西41街
28389,Yuhua Sec Sch,Jurong West St 51,Sec Sch对面,裕廊西51街
27401,Pioneer Sec Sch,Jurong West St 81,Sec Sch对面,裕廊西81街
11469,Queensway Sec Sch,Margaret Dr,Sec Sch对面,玛格烈通道
10319,Queenstown Sec Sch,Margaret Dr,Sec Sch对面,玛格烈通道
53149,Whitley Sec Sch,Marymount Rd,Sec Sch对面,玛丽蒙路
78141,Greenview Sec Sch,Pasir Ris Dr 3,Sec Sch对面,巴西立通道3
65281,Punggol Sec Sch,Punggol Ctrl,Sec Sch对面,榜鹅中路
11069,Queensway Sec Sch,Queensway,Sec Sch对面,女皇大道
58281,Sembawang Sec Sch,Sembawang Cres,Sec Sch对面,三巴旺弯
75039,Springfield Sec Sch,Tampines Ave 8,Sec Sch对面,淡滨尼8道
76349,Dunman Sec Sch,Tampines Ave 9,Sec Sch对面,淡滨尼9道
76271,Dunman Sec Sch,Tampines St 45,Sec Sch对面,淡滨尼45街
94059,Temasek Sec Sch,Upp East Coast Rd,Sec Sch对面,东海岸路上段
64069,S'goon Sec Sch,Upp S'goon Rd,Sec Sch对面,实龙岗路上段
20291,Tanglin Sec Sch,West Coast Rd,Sec Sch对面,西海岸路
46611,Fuchun Sec Sch,Woodlands Ave 1,Sec Sch对面,兀兰1道
46251,Riverside Sec Sch,Woodlands St 81,Sec Sch对面,兀兰81街
46421,Evergreen Sec Sch,Woodlands St 83,Sec Sch对面,兀兰83街
59511,Yishun Sec Sch,Yishun St 71,Sec Sch对面,义顺71街
21751,Jurong Sec Sch,Yuan Ching Rd,Sec Sch对面,园景路
2051,Seating Gallery,Raffles Ave,Seating Gallery,莱佛士道
55021,Opp Seasons Pk,Yio Chu Kang Rd,Seasons Pk对面,杨厝港路
55029,Seasons Pk,Yio Chu Kang Rd,Seasons Pk,杨厝港路
81231,Opp SCN Ctr,Aljunied Rd,SCN 中心对面,阿裕尼路
28251,S'pore Science Ctr,Jurong Town Hall Rd,Science Ctr对面,裕廊镇大会堂路
8079,Sch of The Arts,Prinsep St,Sch of The Arts,布连拾街
19041,Opp Sch Of Science & Tech,C'wealth Ave West,Sch Of Science & Tech对面,联邦西道
40089,SCGS,Dunearn Rd,SCGS,杜尼安路
48099,Opp SCDF Nee Soon Camp,Mandai Rd,SCDF Nee Soon Camp对面,万礼路
48091,SCDF Nee Soon Camp,Mandai Rd,SCDF Nee Soon Camp,万礼路
84599,Opp SBST Bedok Bus Pk,Bedok Nth Ave 4,SBST勿落巴士公园对面,勿洛北4道
84591,SBST Bedok Bus Pk,Bedok Nth Ave 4,SBST勿洛公园,勿洛北4道
55231,Opp SBST East District,Ang Mo Kio St 63,SBST东区对面,宏茂桥63街
55239,SBST East District,Ang Mo Kio St 63,SBST东区,宏茂桥63街
43219,Opp SBS Transit West District,Bt Batok St 23,SBS Transit West District对面,武吉巴督23街
43211,SBS Transit West District,Bt Batok St 23,SBS Transit West District,武吉巴督23街
95049,SATS Cargo Ter,Airport Cargo Rd,SATS 货梯Ter,机场货运路
97189,SATS Maintenance Ctr 2,Changi Nth Cres,SATS Maintenance Ctr 2,樟宜北弯
25361,Yan San Metals Pte Ltd,Tuas Ave 4,San Metals Pte Ltd对面,大士4道
97019,Opp Salvation Army,Upp Changi Rd Nth,Salvation Army对面,樟宜路北上段
17021,Waseda S Snr High Sch,West Coast Rd,S Snr High Sch对面,西海岸路
73019,Bef RSAF Roundabout,Airport Rd,RSAF Roundabout之前,机场路
9212,Royal Plaza On Scotts,Scotts Rd,Royal Plaza On Scotts,史各士路
92111,Opp Roxy Sq,East Coast Rd,Roxy Sq对面,东海岸路
92119,Roxy Sq,East Coast Rd,Roxy Sq,东海岸路
83171,Bef Roseburn Ave,Frankel Ave,Roseburn Ave对面,富兰克道
68089,Aft Rolls Royce Pte Ltd,Seletar Aerospace Dr,Rolls Royce Pte Ltd对面,实里达航空通道
68081,Bef Rolls Royce Pte Ltd,Seletar Aerospace Dr,Rolls Royce Pte Ltd对面,实里达航空通道
68109,Opp Rolls Royce Pte Ltd,Seletar Aerospace Dr,Rolls Royce Pte Ltd对面,实里达航空通道
68101,Rolls Royce Pte Ltd,Seletar Aerospace Dr,Rolls Royce Pte Ltd,实里达航空通道
25341,ROCKWOOL,Tuas Ave 5,ROCKWOOL,大士5道
7589,Opp Rochor Ctr,Ophir Rd,Rochor Ctr对面,奥菲亚路
62019,Aft Rochdale Rd,Upp Paya Lebar Rd,Rochdale Rd对面,巴耶利？路上段
13041,Aft Rochalie Dr,Tanglin Rd,Rochalie Dr对面,东陵路
13049,Bef Rochalie Dr,Tanglin Rd,Rochalie Dr对面,东陵路
77009,Pasir Ris Int,Pasir Ris Dr 3,Ris Int对面,巴西立通道3
77069,Opp Ris Grandeur,Elias Rd,Ris Grandeur对面,伊莱雅路
77061,Ris Grandeur,Elias Rd,Ris Grandeur,伊莱雅路
64329,Rio Vista,Hougang Ave 7,Rio Vista,后港7道
62159,Opp Rindu Terr,S'goon Ave 1,Rindu Terr对面,实龙岗1道
62151,Rindu Terr,S'goon Ave 1,Rindu Terr,实龙岗1道
16009,Kent Ridge Ter,Clementi Rd,Ridge Ter对面,金文泰路
18331,Kent Ridge Stn,Lower Kent Ridge Rd,Ridge Stn对面,肯特岗路下段
15131,Kent Ridge Stn,Sth Buona Vista Rd,Ridge Stn对面,南波那维斯达路
26171,Richee Engrg,Tuas Ave 11,Richee Engrg,大士11道
90031,Tg Ria Condo,Tg Rhu Rd,Ria Condo对面,丹戎禺路
93179,Island Resort S'pore,East Coast Pk Svc Rd,Resort S'pore对面,东海岸公园副路
46269,Republic Polytechnic,Woodlands Ave 9,Republic Polytechnic,兀兰9道
11321,Opp Regent Villa,Sixth Ave,Regent Villa对面,第6道
11329,Regent Villa,Sixth Ave,Regent Villa,第6道
9191,The Regent S'pore,Tomlinson Rd,Regent S'pore对面,汤林生路
17059,Regent Pk,Clementi Ave 6,Regent Pk,金文泰6道
70079,Aft Regent Motors,Ubi Ave 3,Regent Motors对面,乌美3道
43549,Regent Hts,Bt Batok East Ave 5,Regent Hts,武吉巴督东5道
92289,Regent Bowl,East Coast Pk Svc Rd,Regent Bowl,东海岸公园副路
46008,Woodlands Reg Int,Woodlands Reg Ctr,Reg Int对面,兀兰？
46009,Woodlands Reg Int,Woodlands Reg Ctr,Reg Int对面,兀兰？
15229,Opp Redwood West ,Pasir Panjang Rd,Redwood West对面,巴西班让路
15221,Redwood West ,Pasir Panjang Rd,Redwood West,巴西班让路
10201,Opp Redhill Stn,Tiong Bahru Rd,Redhill Stn对面,忠？鲁路
10209,Redhill Stn,Tiong Bahru Rd,Redhill Stn,忠？鲁路
11111,Farrer Rd Stn,Farrer Rd,Rd Stn对面,花拉路
11101,Farrer Rd Mkt,Farrer Rd,Rd Mkt对面,花拉路
65139,Punggol Rd End,Punggol Rd,Rd End对面,榜鹅路
62039,Raya Gdn,Upp Paya Lebar Rd,Raya Gdn,巴耶利？路上段
21489,Aft Ray Lee,Jln Tukang,Ray Lee对面,惹兰都干
19061,Ayer Rajah Telecoms,Dover Rd,Rajah Telecoms对面,杜佛路
42179,Opp Rainbow Gdns,Jln Jurong Kechil,Rainbow Gdns对面,惹兰裕廊克基
14069,Former Railway Stn,Keppel Rd,Railway Stn对面,岌巴路
49091,Bef Railway Crossing,Kranji Rd,Railway Crossing对面,克兰芝路
49139,Aft Railway Crossing,Sg Kadut Ave,Railway Crossing对面,双溪加株道
43059,The Rail Mall,Upp Bt Timah Rd,Rail Mall对面,武吉知马路上段
3059,One Raffles Quay,Raffles Quay,Raffles Quay对面,莱佛士码头
25421,Opp Raffles Marina,Tuas West Dr,Raffles Marina对面,大士西通道
25429,Raffles Marina,Tuas West Dr,Raffles Marina,大士西通道
2119,One Raffles Link,Nicoll Highway,Raffles Link对面,尼浩大道
47019,Aft R.M.N. Barracks,Admiralty Rd,R.M.N.兵营后,海军部路
47011,Bef R.M.N. Barracks,Admiralty Rd,R.M.N.兵营前,海军部路
11141,Queenstown Stn,C'wealth Ave,Queenstown Stn,联邦道
11149,Queenstown Stn,C'wealth Ave,Queenstown Stn,联邦道
11051,Opp Queenstown Polyclinic,Queensway,Queenstown Polyclinic对面,女皇大道
11059,Queenstown Polyclinic,Queensway,Queenstown Polyclinic,女皇大道
11489,Opp Queenstown Lib,Margaret Dr,Queenstown Lib对面,玛格烈通道
11481,Queenstown Lib,Margaret Dr,Queenstown Lib,玛格烈通道
11131,Queens Condo,C'wealth Ave,Queens Condo,联邦道
82091,Aft Queen of Peace Ch,Tg Katong Rd,Queen of Peace Ch对面,丹戎加东路
4222,Clarke Quay Stn,Eu Tong Sen St,Quay Stn对面,余东旋街
4239,Clarke Quay Stn,New Bridge Rd,Quay Stn对面,新桥路
65449,Opp Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch对面,榜鹅路坊
65499,Opp Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch对面,榜鹅路坊
65489,Opp Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch对面,榜鹅路坊
65469,Opp Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch对面,榜鹅路坊
65359,Opp Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch对面,榜鹅路坊
65459,Opp Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch对面,榜鹅路坊
65351,Punggol View Pr Sch,Punggol Pl,Punggol View Pr Sch,榜鹅路坊
67729,Bef Punggol Rd,Buangkok Dr,Punggol Rd对面,万国通道
67721,Aft Punggol Rd,Buangkok Dr,Punggol Rd对面,万国通道
65209,Aft Punggol Rd,Punggol Field,Punggol Rd对面,榜鹅场
65199, Aft Punggol Rd,TPE,Punggol Rd对面,淡滨尼高速公路
65191, Bef Punggol Rd,TPE,Punggol Rd对面,淡滨尼高速公路
64071,Opp Punggol Pk,Hougang Ave 8,Punggol Pk对面,后港8道
64079,Punggol Pk,Hougang Ave 8,Punggol Pk,后港8道
65101,Aft Punggol Dr,Punggol Rd,Punggol Dr对面,榜鹅路
65109,Bef Punggol Dr,Punggol Rd,Punggol Dr对面,榜鹅路
65189, Bef Punggol Ctrl,Punggol East,Punggol Ctrl对面,榜鹅东
65181, Aft Punggol Ctrl,Punggol East,Punggol Ctrl对面,榜鹅东
65219,Aft Punggol Ctrl,Punggol Pl,Punggol Ctrl对面,榜鹅路坊
50189,Opp Public Man,Balestier Rd,Public Man对面,马里士他路
27181,PUB Sub-Stn,Nanyang Ave,PUB Sub-车站,南洋道
66071,Opp PUB Recreation Club,Braddell Rd,PUB Recreation Club对面,布莱德路
66079,PUB Recreation Club,Braddell Rd,PUB Recreation Club,布莱德路
21349,Beecham Pte Ltd,Jln Boon Lay,Pte Ltd对面,惹兰文礼
23461,Selco Pte Ltd,Jln Samulun,Pte Ltd对面,惹兰沙木仑
20331,Vejoil Pte Ltd,Pandan Loop,Pte Ltd对面,班丹环道
47081,Packages Pte Ltd,Senoko Rd,Pte Ltd对面,圣诺哥路
49041,DHdeco Pte Ltd,Sg Kadut St 1,Pte Ltd对面,双溪加株1街
13059,Valley Pt Condo,River Valley Rd,Pt Condo对面,里？？利路
18109,Opp PSB Science Pk Bldg,Buona Vista Flyover,PSB Science Pk Bldg对面,波那维斯达立交？
18101,PSB Science Pk Bldg,Buona Vista Flyover,PSB Science Pk Bldg,波那维斯达立交？
18241,PSB Science Pk Annex,Science Pk Dr,PSB Science Pk Annex,科学园通道
3021,Prudential Twr,Cecil St,Prudential Twr,丝丝街
95171,Prologis,Alps Ave,Prologis,机场后勤围道
24609,Opp Progress Galvanizing,Tuas Rd,Progress Galvanizing对面,大士路
24601,Progress Galvanizing,Tuas Rd,Progress Galvanizing,大士路
47189,Print N Etch PCB,Senoko Loop,Print N Etch PCB,圣诺哥环道
43349,Opp Princess E Pr Sch,Bt Batok West Ave 3,Princess E Pr Sch对面,武吉巴督西3道
43341,Princess E Pr Sch,Bt Batok West Ave 3,Princess E Pr Sch,武吉巴督西3道
7571,Opp Prime Ctr,Middle Rd,Prime Ctr对面,密驼路
21331,Opp Premier Milk Pte Ltd,Jln Boon Lay,Premier Milk Pte Ltd对面,惹兰文礼
21339,Premier Milk Pte Ltd,Jln Boon Lay,Premier Milk Pte Ltd,惹兰文礼
21501,Premier Milk Pte Ltd,Quality Rd,Premier Milk Pte Ltd,品质路
24219,Precision Products,Gul Circle,Precision Products,卡尔圈
98219,Pratt & Whitney Canada,Loyang Cres,Pratt & Whitney Canada,罗央弯
44231,Zhenghua Pr Sch,Bt Panjang Rd,Pr Sch对面,武吉班让路
58461,Innova Pr Sch,Champions Way,Pr Sch对面,冠军大道
45479,Kranji Pr Sch,Choa Chu Kang Dr,Pr Sch对面,蔡厝港通道
65429,Greendale Pr Sch,Edgedale Plains,Pr Sch对面,临谷坪
65411,Horizon Pr Sch,Edgedale Plains,Pr Sch对面,临谷坪
63381,Xinmin Pr Sch,Hougang Ave 8,Pr Sch对面,后港8道
64091,Hougang Pr Sch,Hougang St 93,Pr Sch对面,后港93街
27471,Corporation Pr Sch,Jurong West St 23,Pr Sch对面,裕廊西23街
27149,Juying Pr Sch,Jurong West St 91,Pr Sch对面,裕廊西91街
11499,Queenstown Pr Sch,Margaret Dr,Pr Sch对面,玛格烈通道
65289,Edgefield Pr Sch,Punggol Ctrl,Pr Sch对面,榜鹅中路
67231,Rivervale Pr Sch,Rivervale Dr,Pr Sch对面,河谷通道
1121,Stamford Pr Sch,Victoria St,Pr Sch对面,维多利亚街
58489,Wellington Pr Sch,Wellington Circle,Pr Sch对面,威灵顿圈
46971,Woodgrove Pr Sch,Woodlands Ave 1,Pr Sch对面,兀兰1道
46419,Evergreen Pr Sch,Woodlands Ave 4,Pr Sch对面,兀兰4道
46511,Marsiling Pr Sch,Woodlands Ctr Rd,Pr Sch对面,兀兰中心路
46669,Woodlands Pr Sch,Woodlands Dr 50,Pr Sch对面,兀兰50通道
59309,Jiemin Pr Sch,Yishun Ring Rd,Pr Sch对面,义顺环路
59101,Yishun Pr Sch,Yishun Ring Rd,Pr Sch对面,义顺环路
66261,Opp Portchester Ave,Kensington Pk Rd,Portchester Ave对面,肯新顿园路
66221,Opp Portchester Ave,Tavistock Ave,Portchester Ave对面,达雅士笃路
21149,Jurong Port Workshops,Jurong Port Rd,Port Workshops对面,裕廊海港路
51031,S'pore Polo Club,Thomson Rd,Polo Club对面,汤申路
45201,Opp Police Tactical Trg Camp,Mandai Rd,Police Tactical Trg Camp对面,万礼路
45209,Police Tactical Trg Camp,Mandai Rd,Police Tactical Trg Camp,万礼路
12119,Police KINS Trg Camp,Ulu Pandan Rd,Police KINS Trg Camp,乌鲁班丹路
51101,Old Police Academy,PIE,Police Academy对面,泛岛高速
51021,Old Police Academy,Thomson Rd,Police Academy对面,汤申路
75329,Poi Ching Pr Sch,Tampines St 71,Poi Ching Pr Sch,淡滨尼71街
49061,Poh Cheong Concrete Product,Sg Kadut St 1,Poh Cheong Concrete Product,双溪加株1街
1521,Opp Plaza Parkroyal,Beach Rd,Plaza Parkroyal对面,美芝路
1529,Plaza Parkroyal,Beach Rd,Plaza Parkroyal,美芝路
80289,Sims Pl Ter,Sims Pl,Pl Ter对面,沈氏坊
6169,River Pl Condo,Havelock Rd,Pl Condo对面,合乐路
91059,Katong Pk Twrs,Mountbatten Rd,Pk Twrs对面,蒙巴登路
5069,Outram Pk Stn,New Bridge Rd,Pk Stn对面,新桥路
6029,Outram Pk Stn,Outram Rd,Pk Stn对面,欧南路
50251,Farrer Pk Stn,Rangoon Rd,Pk Stn对面,仰光路
43129,Cashew Pk Condo,Cashew Rd,Pk Condo对面,凯秀路
43271,Glendale Pk Condo,Hillview Rd,Pk Condo对面,山景路
42171,Signature Pk Condo,Jln Jurong Kechil,Pk Condo对面,惹兰裕廊克基
55261,Bullion Pk Condo,Lentor Ave,Pk Condo对面,伦多道
13069,Valley Pk Condo,River Valley Rd,Pk Condo对面,里？？利路
43041,Hume Pk Condo,Upp Bt Timah Rd,Pk Condo对面,武吉知马路上段
97041,Ballota Pk Condo,Upp Changi Rd Nth,Pk Condo对面,樟宜路北上段
59499,Orchid Pk Condo,Yishun St 81,Pk Condo对面,义顺81街
12149,Henry Pk Apts,Mt Sinai Dr,Pk Apts对面,西乃山通道
25449,Aft Pioneer Rd,Tuas West Dr,Pioneer Rd对面,大士西通道
25441,Bef Pioneer Rd,Tuas West Dr,Pioneer Rd对面,大士西通道
25391,Bef Pioneer Rd,Tuas West Rd,Pioneer Rd对面,大士西路
25399,Aft Pioneer Rd,Tuas West Rd,Pioneer Rd对面,大士西路
22189,Pioneer Junction,Pioneer Rd Nth,Pioneer Junction,北先驱路
43459,Aft PIE,Bt Batok Rd,PIE之后,武吉巴督路
43451,Bef PIE,Bt Batok Rd,PIE之前,武吉巴督路
44149,Opp Phoenix Stn,Choa Chu Kang Rd,Phoenix Stn对面,蔡厝港路
44141,Phoenix Stn,Choa Chu Kang Rd,Phoenix Stn,蔡厝港路
52149,Opp Philips S'pore,Lor 1 Toa Payoh,Philips S'pore对面,大巴窑1巷
52141,Philips S'pore,Lor 1 Toa Payoh,Philips S'pore,大巴窑1巷
44209,Opp Petir Stn,Petir Rd,Petir Stn对面,柏堤路
44201,Aft Petir Stn,Petir Rd,Petir Stn对面,柏堤路
43239,The Petals Condo,Hillview Ave,Petals Condo对面,山景道
66151,Opp Penshurst Pl,Chartwell Dr,Penshurst Pl对面,爵卫通道
4168,Opp Peninsula Plaza,Nth Bridge Rd,Peninsula Plaza对面,桥北路
63011,Nam Peng Ctr,Upp S'goon Rd,Peng Ctr对面,实龙岗路上段
44221,Opp Pending Stn,Pending Rd,Pending Stn对面,秉定路
44229,Bef Pending Stn,Pending Rd,Pending Stn对面,秉定路
11209,Opp Peirce Rd,Holland Rd,Peirce Rd对面,荷兰路
11211,Aft Peirce Rd,Holland Rd,Peirce Rd对面,荷兰路
67481,Opp Pei Hwa Sec Sch,Sengkang West Ave,Pei Hwa Sec Sch对面,盛港西道
67489,Pei Hwa Sec Sch,Sengkang West Ave,Pei Hwa Sec Sch,盛港西道
52341,Pei Chun Public Sch,Lor 6 Toa Payoh,Pei Chun Public Sch,大巴窑6巷
50209,Aft Pegu Rd,Balestier Rd,Pegu路之后,马里士他路
90029,Opp Pebble Bay,Tg Rhu Rd,Pebble Bay对面,丹戎禺路
90021,Pebble Bay,Tg Rhu Rd,Pebble Bay,丹戎禺路
5012,Pearl's Ctr,Eu Tong Sen St,Pearl's Ctr,余东旋街
7011,Peace Ctr,Selegie Rd,Peace Ctr,实利基路
52189,Toa Payoh Stn,Lor 2 Toa Payoh,Payoh Stn对面,大巴窑2巷
52321,Toa Payoh Stadium,Lor 6 Toa Payoh,Payoh Stadium对面,大巴窑6巷
52481,Toa Payoh Polyclinic,Lor 8 Toa Payoh,Payoh Polyclinic对面,大巴窑8巷
52009,Toa Payoh Int,Lor 6 Toa Payoh,Payoh Int对面,大巴窑6巷
71209,Opp Paya Ubi Ind Pk,Ubi Ave 1,Paya Ubi Ind Pk对面,乌美1道
71201,Paya Ubi Ind Pk,Ubi Ave 1,Paya Ubi Ind Pk,乌美1道
63309,Opp Paya Lebar Girls' Sch,Lor Ah Soo,Paya Lebar Girls' Sch对面,罗弄阿苏
63301,Paya Lebar Girls' Sch,Lor Ah Soo,Paya Lebar Girls' Sch,罗弄阿苏
43099,Assumption Pathway Sch,Upp Bt Timah Rd,Pathway Sch对面,武吉知马路上段
13199,Opp Paterson Lodge,Paterson Rd,Paterson Lodge对面,巴德申路
13191,Paterson Lodge,Paterson Rd,Paterson Lodge,巴德申路
60269,Potong Pasir Stn,Upp S'goon Rd,Pasir Stn对面,实龙岗路上段
60261,Potong Pasir Stn,Upp S'goon Rd,Pasir Stn对面,实龙岗路上段
78271,Casa Pasir Ris,Jln Loyang Besar,Pasir Ris对面,惹兰罗央勿刹
77171,Opp Pasir Ris Town Pk,Pasir Ris Ctrl,Pasir Ris Town Pk对面,巴西立中路
77179,Pasir Ris Town Pk,Pasir Ris Ctrl,Pasir Ris Town Pk,巴西立中路
77049,Pasir Ris Town Pk,Pasir Ris Dr 1,Pasir Ris Town Pk,巴西立通道1
77271,Aft Pasir Ris St 72,Pasir Ris Dr 12,Pasir Ris St 72对面,巴西立通道12
77379,Bef Pasir Ris St 53,Pasir Ris Ctrl,Pasir Ris St 53对面,巴西立中路
77321,Aft Pasir Ris St 53,Pasir Ris Ctrl,Pasir Ris St 53对面,巴西立中路
77329,Bef Pasir Ris St 53,Pasir Ris Ctrl,Pasir Ris St 53对面,巴西立中路
78139,Opp Pasir Ris Pr Sch,Pasir Ris Dr 3,Pasir Ris Pr Sch对面,巴西立通道3
78131,Pasir Ris Pr Sch,Pasir Ris Dr 3,Pasir Ris Pr Sch,巴西立通道3
77089,Bef Pasir Ris Dr 3,Elias Rd,Pasir Ris Dr 3对面,伊莱雅路
77081,Aft Pasir Ris Dr 3,Elias Rd,Pasir Ris Dr 3对面,伊莱雅路
98031,Aft Pasir Ris Dr 3,Loyang Ave,Pasir Ris Dr 3对面,罗央道
77279,Aft Pasir Ris Dr 1,Pasir Ris Dr 12,Pasir Ris Dr 1对面,巴西立通道12
92041,Opp Parkway Parade,Marine Parade Rd,Parkway Parade对面,马林百列路
92049,Parkway Parade,Marine Parade Rd,Parkway Parade,马林百列路
1139,Parkview Sq,Nth Bridge Rd,Parkview Sq,桥北路
50011,Opp Parish of Christ Ch,Kg Java Rd,Parish of Christ Ch对面,甘榜爪哇路
50019,Parish of Christ Ch,Keng Lee Rd,Parish of Christ Ch,庆利路
28459,Opp Parc Oasis,Jurong East Ave 1,Parc Oasis对面,裕廊东1道
28451,Parc Oasis,Jurong East Ave 1,Parc Oasis,裕廊东1道
28281,Parc Oasis,Jurong Town Hall Rd,Parc Oasis,裕廊镇大会堂路
22431,Opp Par Investment,Enterprise Rd,Par Investment对面,事业路
22439,Aft Par Investment,Enterprise Rd,Par Investment对面,事业路
45009,Bt Panjang Temp Bus Pk,Woodlands Rd,Panjang Temp Bus Pk对面,兀兰路
15191,Pasir Panjang Stn,Pasir Panjang Rd,Panjang Stn对面,巴西班让路
44851,Bt Panjang Stn,Petir Rd,Panjang Stn对面,柏堤路
44639,Bt Panjang Plaza,Jelebu Rd,Panjang Plaza对面,日？务路
15161,Pasir Panjang Ctr,Pasir Panjang Rd,Panjang Ctr对面,巴西班让路
12041,Aft Pandan Valley,Ulu Pandan Rd,Pandan Valley对面,乌鲁班丹路
12049,Opp Pandan Valley ,Ulu Pandan Rd,Pandan Valley对面,乌鲁班丹路
12169,Pandan Valley,Pandan Valley,Pandan Valley,班丹谷
29069,Aft Pandan Rd,Jln Buroh,Pandan Rd对面,惹兰布罗
20261,Aft Pandan Gdns,Jurong Town Hall Rd,Pandan Gdns对面,裕廊镇大会堂路
20269,Bef Pandan Gdns,Jurong Town Hall Rd,Pandan Gdns对面,裕廊镇大会堂路
84131,Opp Panasonic,Bedok Sth Rd,Panasonic对面,勿洛南路
84139,Panasonic,Bedok Sth Rd,Panasonic,勿洛南路
20341,Pan Tech Ind Cplx,Pandan Loop,Pan Tech Ind Cplx,班丹环道
74049,Golden Pagoda Tp,Tampines Link,Pagoda Tp对面,淡滨尼连路
5411,Tg Pagar Plaza,Tg Pagar Rd,Pagar Plaza对面,丹戎巴葛路
14081,Tg Pagar DP Blk F5,Keppel Rd,Pagar DP Blk F5对面,岌巴路
46309,Opp Pacific Vintex,Riverside Rd,Pacific Vintex对面,河傍路
46721,Opp Pacific Vinitex,Woodlands Ave 8,Pacific Vinitex对面,兀兰8道
46729,Pacific Vinitex,Woodlands Ave 8,Pacific Vinitex,兀兰8道
2089,Pan Pacific Hotel,Raffles Blvd,Pacific Hotel对面,莱佛士林荫道
25239,Asia-Pacific Brewery,Jln Ahmad Ibrahim,Pacific Brewery对面,惹兰阿末依布拉欣
7241,Umar P Tamil Lang Ctr,Lavender St,P Tamil Lang Ctr对面,劳明达街
10018,Bef Outram Rd,Eu Tong Sen St,Outram Rd对面,余东旋街
58139,Aft Ottawa Rd,Canberra Rd,Ottawa Rd对面,坎贝拉路
9022,Opp Orchard Stn,Orchard Blvd,Orchard Stn对面,乌节林荫道
9023,Orchard Stn,Orchard Turn,Orchard Stn,乌节弯路
8137,Orchard Plaza,Orchard Rd,Orchard Plaza,乌节路
25099,Opto-Pharm,Tuas Ave 12,Opto-Pharm,大士12道
44239,Opp Zhenghua Pr Sch,Bt Panjang Rd,Opp Zhenghua Pr Sch,武吉班让路
63279,Opp Yuying Sec Sch,Hougang Ave 1,Opp Yuying Sec Sch,后港1道
16179,Opp Yusof Ishak Hse,Kent Ridge Cres,Opp Yusof Ishak Hse,肯特岗湾
68131,Opp Youth Flying Club,West Camp Rd,Opp Youth Flying Club,西兵营路
59031,Opp Yishun Sports Hall,Yishun Ave 2,Opp Yishun Sports Hall,义顺2道
59109,Opp Yishun Pr Sch,Yishun Ring Rd,Opp Yishun Pr Sch,义顺环路
45329,Opp Yew Tee Stn,Choa Chu Kang Dr,Opp Yew Tee Stn,蔡厝港通道
63389,Opp Xinmin Pr Sch,Hougang Ave 8,Opp Xinmin Pr Sch,后港8道
46501,Opp Woodlands Town Gdn,Woodlands Ctr Rd,Opp Woodlands Town Gdn,兀兰中心路
46021,Opp Woodlands Fire Stn                                                                              ,Woodlands Rd,Opp Woodlands Fire Stn,兀兰路
46329,Opp Woodlands Civic Ctr,Woodlands Ave 5,Opp Woodlands Civic Ctr,兀兰5道
47539,Opp Woodgrove Sec Sch,Woodlands Ave 6,Opp Woodgrove Sec Sch,兀兰6道
