00481,BT PANJANG TEMP BUS PK
47501,Opp Blk 583, 大牌583对面
47511,Blk 554, 大牌554
47521,Opp Blk 575, 大牌575对面
47539,Opp Woodgrove Sec Sch, Opp Woodgrove Sec Sch
47541,Blk 639, 大牌639
47549,Opp Blk 639, 大牌639对面
47551,Blk 630, 大牌630
47559,Opp Blk 630, 大牌630对面
47561,Blk 620, 大牌620
47569,Opp Blk 620, 大牌620对面
47571,Blk 618, 大牌618
47579,Blk 556, 大牌556
47581,Opp Blk 521, 大牌521对面
47589,Blk 519A CP, 大牌CP对面
47591,Blk 680, 大牌680
47599,Blk 683A, 大牌683A
47601,Blk 793, 大牌793
47609,Opp Blk 793, 大牌793对面
47611,Woodsvale Condo, Woodsvale Condo
47619,Opp Woodsvale Condo, Woodsvale Condo对面
47621,Aft Gambas Ave, 大牌Flextronics
47629,Seagate, 大牌Seagate
47639,Blk 418, 大牌418
47641,Blk 681A, 大牌681A
47649,Opp Blk 681B, 大牌681B对面
47651,Blk 684B, 大牌684B
47659,Blk 685A, 大牌685A
47661,Blk 788E, 大牌788E
47671,Opp Admiralty Sec Sch, Opp Admiralty Sec Sch
47681,Woodsvale Condo, Woodsvale Condo
47711,JB Sentral Bus Ter, JB Sentral Bus Ter
47801,Sunshine Bakery, 阳光烘培
47809,Opp Sunshine Bakery, 阳光烘培对面
47811,W'Lands Sunny Food, 乌兰阳光食物
47819,Opp W'Lands Sunny Food, 乌兰阳光食品对面
47821,Opp Sumitomo Bakelite S'pore, Sumitomo Bakelite 新加坡对面
47829,Sumitomo Bakelite S'pore, Sumitomo Bakelite新加坡
48011,Opp Mandai Camp 2, Opp Mandai Camp 2
48019,Mandai Camp 2, 大牌2对面
48021,Aft Mandai Lake Rd, 义顺2道之后
48029,Bef Mandai Lake Rd, Bef Mandai Lake Rd
48031,LP 162, 大牌162
48039,LP 159, 大牌159
48041,Aft Jln Ulu Sembawang, 义顺2道之后
48049,Bef Jln Ulu Sembawang, 大牌199
48051,Mandai Agrotech Pk, Agrotech Pk对面
48059,Opp Mandai Agrotech Pk, Opp Mandai Agrotech Pk
48061,Bef Mandai Ave, Lor Gambas对面
48069,Aft Mandai Ave, Lor Gambas对面
48071,Mandai Crematorium, Mandai Crematorium
48079,Opp Mandai Crematorium, Mandai Crematorium对面
48081,Opp Upp Seletar Reservoir, Opp Upp Seletar Reservoir
48089,Upp Seletar Reservoir, Seletar Reservoir对面
48091,SCDF Nee Soon Camp, SCDF Nee Soon Camp
48099,Opp SCDF Nee Soon Camp, SCDF Nee Soon Camp对面
48101,Aft Meng Suan Rd, 义顺2道之后
48109,Opp Meng Suan Rd, Opp Meng Suan Rd
48111,Aft Mandai Rd, Mandai Rd对面
48119,Bef Mandai Rd, Mandai Rd对面
48121,Bef S'pore Zoo, S'pore Zoo对面
48129,Aft S'pore Zoo, S'pore Zoo对面
48131,S'Pore Zoo, S'pore Zoo
48141,Opp Mandai Crematorium & Columbarium, Mandai Crematorium & Columbarium对面
48149,Mandai Crematorium & Columbarium, Mandai Crematorium & Columbarium
49011,Opp Kim Hock Corp Pte Ltd, Kim Hock Corp Pte Ltd对面
49019,Kim Hock Corp Pte Ltd, Hock Corp Pte Ltd对面
49021,WHYE WAH DEVT & CONSTRN, Wah Devt & Construction对面
49029,SIT LEY TIMBER, Whye Wah Devt & Construction对面
49031,Opp Crown Alliance Industries, Opp Crown Alliance Industries
49039,Asia Rattan Trading Co, Asia Rattan Trading Co
49041,DHdeco Pte Ltd, Pte Ltd对面
49049,Sim Hup Co, Hup Co对面
49051,Aft Sg Kadut Eating Hse, Sg Kadut Eating Hse对面
49059,Aft LCS Optiroc Pte Ltd, LCS Optiroc Pte Ltd对面
49061,Poh Cheong Concrete Products, Poh Cheong Concrete Product
49069,Tropical Furniture Ltd, Furniture Ltd对面
49071,Opp Wason Wood Ind, Opp Wason Wood Industries
49079,Wason Wood Ind, Wood Ind对面
49081,Aft Kranji Cres, Econ Machinery对面
49089,Bef Kranji Cres, Econ Machinery
49091,Opp Kranji Wtr Reclam Plt, Railway Crossing对面
49099,AFT KRANJI WATER RECLAMATION PLANT
49101,Opp Ordinance Supply Base, Opp Ordinance Supply Base
49109,Kranji Wtr Reclam Plt, Kranji Water Reclamation Plant
49111,Aft Jln Lam Huat, 义顺2道之后
49119,Blk 2, 大牌2
49121,Aft SMRT Buses Kranji Depot, SMRT Buses Kranji Depot对面
49129,Lip Guan Ind, Guan Ind对面
49131,Tan Chiang Bros Marble, Tan Chiang Bros Marble
49139,Bef Sg Kadut Way, Railway Crossing对面
49141,Ctrl Granite Ind, Granite Ind对面
49149,Bef Fishing Ground A, Bef Fishing Ground A
49151,Daiya Engrg, Maw Sawmill对面
49159,Econ Group, Econ Group
49169,Tong Seng Concrete Ltd, Tong Seng Concrete Ltd
49171,OPP SHINGDA CONSTRN, Wee Trading对面
49179,Aft Kranji Cres, Opp Seow Wee Trading
49181,Dapolite Ind, Dapolite Ind
49189,Aft Kranji Rd, Kranji Rd对面
49199,Kranji Reservoir Pk B, Kranji Reservoir Pk B
49209,Sg Buloh Wetland Reserve
49211,PUB Quarter
49219,Opp PUB Quarter
49229,Long Kuan Hung Crocodile Farm
49239,Opp Nyee Phoe Group
49249,Aft Neo Tiew Rd
50011,Opp Parish Of Christ Ch, Parish of Christ Ch对面
50019,Parish Of Christ Ch, Parish of Christ Ch
50021,United Sq, United Sq
50029,Opp United Sq, United Sq对面
50031,Opp Novena Ch, Novena Ch对面
50037,Novena Stn Exit B, Novena Ch
50038,Novena Stn, Novena Stn
50041,Novena Lodge, Novena Lodge
50049,Opp Novena Lodge, Novena Lodge对面
50051,Thomson Med Ctr, Med Ctr对面
50059,Opp Thomson Med Ctr, Opp Thomson Med Ctr
50061,Opp Hotel Royal, Hotel Royal对面
50069,Hotel Royal, Hotel Royal
50071,Bef Carlisle Rd, Carlisle Rd对面
50079,Opp Carlisle Rd, Carlisle Rd对面
50081,Blk 41A, 大牌41A
50089,Blk 51, 大牌51
50111,Revival Ctr Ch, Ctr Ch对面
50119,St. Joseph Inst Jnr, 大牌Sch对面
50121,Natl Skin Ctr, Skin Ctr对面
50129,Opp Tan Tock Seng Hosp, Tan Tock Seng Hosp对面
50159,Bef Kim Keat Lane, Opp Jumbo Ind Bldg
50161,Bef Jln Dusun, 马里士中心
50169,Aft Irrawaddy Rd, Irrawaddy路之后
50171,Zhongshan Mall, 中山Mall
50179,Opp Zhongshan Mall, 中山Mall对面
50189,Opp Public Man, Public Man对面
50191,Bef Balestier Plaza, 马里士他商场之前
50199,HMI Balestier Hosp, 马里士他医院对面
50201,Shaw Plaza, 邵氏商场
50209,Aft Pegu Rd, Pegu路之后
50211,Opp Balestier Pt, 马里士他商场对面
50221,Opp Balestier Twrs, 马里士他对面
50229,Balestier Twrs, 马里士他
50231,Northlight Sch, ITE马里士
50239,S'pore Indian Assn, 新加坡印度Assn
50241,Opp S'pore Khalsa Assn, 新加坡Khalsa Assn对面
50249,S'pore Khalsa Assn, 新加坡Khalsa Assn
50251,Farrer Pk Stn Exit A, Pk Stn对面
50259,Opp Farrer Pk Stn, Opp Farrer Pk Stn
50261,Kentish Lodge, Kentish Lodge
50279,Farrer Pk Stn Exit D, 大牌9对面
50301,Kentish Green, Kentish Green
50321,Aft Gloucester Rd, Gloucester Rd对面
50331,Blk 122, 大牌122
50349,Blk 107, 大牌107
50351,Farrer Pk Tennis Ctr, Farrer Pk Tennis Ctr
50991,Blk 82, 大牌82
51011,Opp Tan Tong Meng Twr, Tan Tong Meng Twr对面
51019,Thomson Flyover, 汤申立交桥
51021,Old Police Academy, Police Academy对面
51029,Opp Old Police Academy, Opp Old Police Academy
51031,S'pore Polo Club, Polo Club对面
51039,Opp S'pore Polo Club, Opp S'pore Polo Club
51041,Opp SLF Cplx, 大牌Cplx对面
51049,SLF Cplx, 大牌Cplx
51051,AFT ANDREW RD, MediaCorp
51059,AFT TOA PAYOH RISE, Opp MediaCorp
51069,Mt Alvernia Hosp, Alvernia Hosp对面
51071,Macritchie Reservoir, MacRitchie Reservoir
51079,Opp Macritchie Reservoir, 大牌Reservoir对面
51081,Opp Marymount Convent Sch, Opp Marymount Convent Sch
51089,Bef Marymount Convent Sch, Bef Marymount Convent Sch
51091,Opp Catholic JC, 大牌JC对面
51099,Catholic JC, 大牌JC
51101,Old Police Academy, Police Academy对面
51109,Opp Old Police Academy, Opp Old Police Academy
51111,Opp Andrew Rd, Andrew Rd对面
51119,Bef Andrew Rd, Andrew Rd对面
51131,Opp Braddell View, 布莱德View 对面
51139,Braddell View, 布莱德View
52009,Toa Payoh Int, Payoh Int对面
52011,Bef Bishan Rd, 碧山路之前
52019,Aft Bishan Rd, 碧山路之后
52021,OPP BLK 1004, 大牌1004对面
52029,Blk 1004, 大牌1004
52031,OPP BLK 998, 大牌998对面
52039,Aft Muhajirin Mque, Muhajirin Mque之后
52049,Blk 19
52051,BLK 147, 大牌147
52059,Blk 219, 大牌219
52061,BCA Academy, BCA Academy
52069,Comfortdelgro Corp Ltd, ComfortDelGro Corp公司
52071,Trellis Twrs, Trellis Twrs
52079,Opp Trellis Twrs, Trellis Twrs对面
52081,Aft Blk 195, 大牌195对面
52089,Opp Blk 195, 大牌195对面
52099,Opp NKF, 大牌NKF
52109,Bet Blks 33/34, 大牌34对面
52119,Opp Blk 65
52129,Blk 29, 大牌29
52131,Blk 163, 大牌163
52139,Oleander Twrs, Oleander Twrs
52141,Philips S'pore, Philips S'pore
52149,Opp Philips S'pore, Philips S'pore对面
52151,Blk 131, 大牌166
52159,Blk 128, 大牌128
52161,Braddell Stn/Blk 111, 大牌111
52169,Blk 117, 大牌117
52171,Braddell Stn/Blk 107, Braddell Stn对面
52179,Braddell Stn/Blk 106, Braddell Stn
52181,Opp Toa Payoh Stn, Opp Toa Payoh Stn
52189,Toa Payoh Stn, Payoh Stn对面
52191,Blk 138B, 大牌140
52199,Blk 84B, 大牌84B
52201,Blk 121, 大牌121
52209,Blk 101C CP, 大牌CP对面
52211,Lighthouse Sch, Lor 1 Toa Payoh对面
52219,Bef Caldecott Stn, Lor 1 Toa Payoh对面
52221,Opp Jackson Sq, Jackson Sq对面
52229,Jackson Sq, Jackson Sq
52231,Opp Blk 177, 大牌177对面
52239,Blk 177, 大牌177
52241,Opp Caldecott Stn, Nursing Home对面
52249,Aft Caldecott Stn, Opp Lions Nursing Home
52251,Chung Hwa Free Clinic, Chung Hwa Free Clinic
52259,Opp Chung Hwa Free Clinic, Chung Hwa Free Clinic对面
52261,Opp Blk 73, 大牌73对面
52269,Blk 73, 大牌73
52271,Jackson Sq, Jackson Sq
52279,Blk 56, 大牌56
52281,Blk 68, 大牌68
52289,Blk 34, 大牌34
52291,Blk 59, 大牌59
52299,Blk 50, 大牌50
52301,Blk 35, 大牌35
52309,Opp Blk 35, 大牌30
52311,Blk 23, 大牌23
52319,Blk 25, 大牌25
52321,Toa Payoh Stadium, Payoh Stadium对面
52329,Opp Toa Payoh Stadium, Opp Toa Payoh Stadium
52331,Blk 27, 大牌27
52339,Opp Blk 26, 大牌32
52341,Pei Chun Public Sch, Pei Chun Public Sch
52349,United Medicare Ctr, Medicare Ctr对面
52351,Blk 2, 大牌2
52359,Blk 52, 大牌52
52361,Blk 1, 大牌1
52369,Blk 237, 大牌237
52371,First Toa Payoh Pr Sch, Toa Payoh Pr Sch对面
52381,Braddell Tech Bldg, Tech Bldg对面
52389,Blk 227, 大牌227
52391,Opp Blk 231, 大牌231对面
52399,Blk 231, 大牌231
52401,Blk 102, 大牌102
52409,Opp Blk 102, 大牌102对面
52411,Blk 105, 大牌105
52419,Curtin S'pore, Curtin S'pore
52429,Blk 17A, 大牌17A
52439,Opp Blk 5, 大牌5对面
52441,Blk 202, 大牌202
52449,Toa Payoh Police Ctr, Toa Payoh Police Ctr
52451,Blk 114, 大牌114
52471,EASB, EASB
52479,Opp EASB, EASB对面
52481,Toa Payoh Polyclinic, Payoh Polyclinic对面
52489,Opp Toa Payoh Polyclinic, Opp Toa Payoh Polyclinic
52499,St. Michael's Ter, 大牌Ter对面
52501,Toa Payoh Swim Cplx, Toa Payoh Swim Cplx
52509,Opp Toa Payoh Swim Cplx, 大巴窑游泳池对面
52529,Bef Blk 221, 大牌221对面
52539,Blk 210 Mkt/FC, 大牌FC对面
52559,Caldecott Stn, Caldecott Stn
53009,Bishan Int, 碧山转换站
53011,ST. THERESA'S HME, 大牌Home对面
53019,OPP ST. THERESA'S HME, Opp St. Theresa's Home
53021,Opp Shunfu Est, Shunfu Est对面
53029,Shunfu Est, Shunfu Est
53039,Thomson CC, 大牌CC
53041,Bef Thomson Ridge, Thomson Ridge对面
53049,Bef Jln Todak, Jln Todak对面
53051,Bef Thomson Plaza, Thomson Plaza对面
53059,Opp Thomson Plaza, Thomson Plaza对面
53061,Bef Windsor Pk Rd, View Condo对面
53069,Aft Windsor Pk Rd, Windsor Pk对面
53071,Opp Flame Tree Pk, Opp Flame Tree Pk
53079,Flame Tree Pk, Tree Pk对面
53081,Opp Faber Gdn, Faber Gdn对面
53089,Faber Gdn, Faber Gdn
53091,Bef Ang Mo Kio Ave 1, Ang Mo Kio Ave 1对面
53099,Aft Ang Mo Kio Ave 1, Ang Mo Kio Ave 1对面
53111,Bef Marymount Lane, Marymount Lane对面
53119,Aft Bishan St 21, 义顺2道之后
53121,Marymount Stn, Marymount Stn
53129,Opp Marymount Stn, Marymount Stn对面
53131,Blk 319, 大牌319
53139,Marymount View, Marymount View
53141,Opp Whitley Sec Sch, Opp Whitley Sec Sch
53149,Whitley Sec Sch, Sec Sch对面
53151,Opp Blk 263A CP, Opp Blk 263A CP
53159,Blk 260, 大牌260
53161,Opp Blk 254, 大牌254对面
53169,Blk 254, 大牌254
53171,Blk 23, 大牌23
53179,Sin Ming Plaza, Ming Plaza对面
53181,Amtech Bldg, Amtech Bldg
53189,Blk 25, 大牌25
53191,Blk 7 Ind Est, Blk 7 Ind Est
53199,Blk 22A CP, 大牌CP对面
53201,Opp Nea Reg Off, Opp Semac
53209,Aft Nea Reg Off, 大牌Semac
53211,OPP RAFFLES INST, 莱佛士Inst对面
53219,Raffles Inst, 莱佛士坊Inst
53221,BLK 115, 大牌115
53229,Blk 501, 大牌501
53231,BISHAN STN, 碧山车站
53239,OPP BISHAN STN, 碧山车站对面
53241,OPP BLK 217, 大牌217对面
53249,BLK 210, 大牌210
53251,BLK 125, 大牌125
53259,Opp Blk 125, 大牌125对面
53261,Opp Bishan Stadium, 碧山体育场对面
53269,Bishan Stadium, 碧山体育场
53271,Opp Kuo Chuan Presby Sch, 阔穿Presby学校对面
53279,Kuo Chuan Presby Sch, 阔穿Presby学校
53281,Blk 169, 大牌169
53289,Zion Bible Presby Ch, Zion圣经Presby教会
53291,Shunfu Mart, Shunfu Mart
53299,Blk 314, 大牌314
53301,Raffles Inst, 莱佛士Inst
53309,Opp Raffles Inst, 莱佛士Inst对面
53311,Opp Bosch, Bosch对面
53319,Bosch, Bosch
53321,CityCab, CityCab
53329,Opp CityCab, Opp CityCab
53331,Bef Bright Hill Tp, Bef Bright Hill Tp
53339,Opp Bright Hill Tp, Opp Bright Hill Tp
53341,Blk 407, 大牌407
53349,Bishan Pk Sec Sch, Bishan Pk Sec Sch
53351,Ai Tong Sch, Tong Sch对面
53359,Opp Ai Tong Sch, Opp Ai Tong Sch
53361,Blk 454, 大牌454
53369,Opp Blk 454, 大牌454对面
53371,Blk 257, 大牌257
53379,Blk 245, 大牌245
53381,Bishan Nth Shop Mall, 碧山东商场
53389,Opp Bishan Nth Shop Mall, 碧山东商场对面
53391,Opp Blk 203, 大牌203对面
53399,Blk 202, 大牌202
53401,Guangyang Sec Sch, 大牌131对面
53409,Blk 131, 大牌131
53419,Opp Guangyang Pr Sch, 大牌117
53421,BLK 151A MKT
54009,Ang Mo Kio Int, 宏茂桥转换站
54011,Blk 207, 大牌207
54019,Aft Blk 304, 大牌304之后
54031,Opp Al-Muttaqin Mque, AI-Muttaqin Mque对面
54039,Bef Al-Muttaqin Mque, AI-Muttaqin Mque之前
54041,Opp Courts Ang Mo Kio, 宏茂桥Courts对面
54049,Courts Ang Mo Kio, 宏茂桥Courts
54051,Bef Ang Mo Kio Ave 5, 宏茂桥5道之前
54059,Bef Ang Mo Kio Lib, 宏茂桥图书馆之前
54061,Blk 246, 大牌246
54069,Opp Blk 246, 大牌246对面
54071,BLK 310, 大牌310
54079,OPP BLK 315, 大牌315对面
54081,TECK GHEE CT, Teck Ghee Ct
54089,OPP ANG MO KIO SWIM CPLX, 宏茂桥游泳池对面
54091,BLK 331, 大牌331
54099,OPP BLK 333, 大牌333对面
54101,Aft Ang Mo Kio Ave 10, 宏茂桥10道之后
54109,Bef Ang Mo Kio Ave 10, 宏茂桥10道之前
54161,Opp Blk 255, 大牌255对面
54169,Blk 255, 大牌255
54181,BLK 258, 大牌258
54189,BLK 110, 大牌110
54191,BLK 170, 大牌170
54199,BLK 163, 大牌163
54201,OPP BLK 155, 大牌155对面
54209,BET BLKS 152/155, Bet 大牌 152/155
54211,MAYFLOWER SEC SCH, 花朵中学
54219,OPP MAYFLOWER SEC SCH, 花朵中学对面
54221,Opp Ang Mo Kio Pr Sch, 宏茂桥小学对面
54229,Ang Mo Kio Pr Sch, 宏茂桥小学
54231,Blk 129, 大牌129
54239,Blk 209, 大牌209
54241,Blk 700B, 大牌700B
54247,Blk 322, 大牌322
54248,Blk 324, 大牌324
54251,Aft Grandeur 8, Anderson JC 对面
54259,Opp Grandeur 8, Anderson JC
54261,Ang Mo Kio Stn, 宏茂桥车站对面
54269,Opp Ang Mo Kio Stn, 宏茂桥车站对面
54271,Blk 586, 大牌586
54279,Blk 427, 大牌427
54281,Blk 570, 大牌570
54289,Blk 452, 大牌452
54291,Blk 564, 大牌564
54299,Opp Blk 565, 大牌565对面
54301,Blk 5022, 大牌5022
54309,Opp Blk 5022, 大牌5022对面
54311,Blk 332, 大牌332
54319,Opp Christ The King Ch, Christ The国王Ch对面
54321,Blk 354, 大牌354
54329,Blk 420, 大牌420
54331,Blk 346, 大牌346
54339,Blk 422, 大牌422
54341,Opp Blk 504, 大牌504对面
54349,Blk 504, 大牌504
54351,Nanyang Poly, 南洋Poly
54359,Blk 502, 大牌502
54369,Opp Blk 4025, 大牌4025对面
54371,Blk 409A, 大牌409A
54379,Blk 475, 大牌475
54381,Blk 443, 大牌443
54389,Blk 465, 大牌465
54391,Aft Ang Mo Kio Int, Jubilee
54399,Ang Mo Kio Stn, 大牌710对面
54401,Blk 522, 大牌522
54409,Opp Blk 522, 大牌522对面
54411,Blk 527, 大牌527
54419,Opp Blk 527, 大牌527对面
54429,Blk 561, 大牌561
54439,Blk 549, 大牌549
54441,Blk 507, 大牌507
54449,Opp Blk 507, 大牌507对面
54451,Blk 643, 大牌643
54459,Blk 151, 大牌151
54461,Blk 649, 大牌649
54469,Opp Blk 649, 大牌649对面
54471,Opp Blk 538, 大牌538对面
54479,Blk 538, 大牌538
54481,Ite Coll Ctrl, ITE College Ctrl
54489,Opp Ite Coll Ctrl, ITE College Ctrl对面
54491,Aft CTE, CTE之后
54499,Bef CTE, CTE之前
54501,Opp AMK Ind Pk 2, 宏茂桥Ind公园2对面
54509,Aft Blk 5000, 大牌5000之后
54511,Blk 5028, 大牌5028
54519,Opp Blk 5023, 大牌5023对面
54521,Blk 5046, 大牌5046
54529,Opp Blk 5043, 大牌5043对面
54531,OPP BISHAN PK, 地铁列车碧山Depot
54539,BISHAN PK, 碧山公园
54571,Blk 532, 大牌532
54579,Blk 540, 大牌540
54581,Blk 574, 大牌574
54589,Blk 555, 大牌555
54591,Opp Blk 5060, 大牌5084
54599,Blk 5056, 大牌5056
54601,Townsville Pr Sch, Townsville小学
54609,Opp Townsville Pr Sch, Townsville小学对面
54611,BLK 220, 大牌220
54619,OPP BLK 220, 大牌220对面
54621,BLK 223, 大牌223
54629,OPP BLK 223, 大牌223对面
54631,Bef Ang Mo Kio Ind Pk 2A, Tyco Electronics对面
54641,Sing Ind Cplx, 新加坡工业园
54651,Opp Techplace 2, Techplace 2对面
54659,Techplace 2, Techplace 2
55009,Ang Mo Kio Depot, 宏茂桥Depot
55011,Opp The Calrose, The Calrose对面
55019,The Calrose, The Calrose
55021,OPP SEASONS PK, Seasons Pk对面
55029,SEASONS PK, Seasons Pk
55031,Opp NCS Hub, 大牌Hub对面
55039,NCS Hub, 大牌Hub
55041,Opp Ue Bizhub Ctrl, Opp Motorola
55049,Ue Bizhub Ctrl, 大牌Motorola
55051,Opp ST Electronics, 大牌Electronics对面
55059,ST Electronics, 大牌Electronics
55071,Bef KLC Intl Inst, Bef KLC Intl Inst
55079,Aft KLC Intl Inst, Ｇｅｙｌａｎｇ　Intl　Inst　之后
55081,Opp Sunrise Gdns, Sunrise Gdns对面
55089,Aft Sunrise Gdns, Sunrise Gdns对面
55101,Opp Serenity Pk, Serenity Pk对面
55109,Serenity Pk, Serenity Pk
55111,Blk 180, 大牌180
55119,Blk 617, 大牌617
55121,Opp Blk 604, 大牌604对面
55129,Blk 604, 大牌604
55131,BLK 612, 大牌612
55139,BLK 641, 大牌641
55141,OPP BLK 622, 大牌622对面
55149,BLK 622, 大牌622
55151,Ang Mo Kio Comm Hosp, 宏茂桥医院
55159,Opp Ang Mo Kio Comm Hosp, 宏茂桥Comm 医院对面
55169,Mkt/FC, 集市/FC
55171,CASTLE GREEN, 城堡绿色
55179,OPP CASTLE GREEN, 城堡绿色对面
55181,Opp Yio Chu Kang Stn, 杨厝港车站对面
55189,YIO CHU KANG STN, 杨厝港车站
55199,Blk 645, 大牌645
55201,Opp Anderson JC, Anderson JC对面
55209,Anderson JC, Anderson JC
55211,Aft Ang Mo Kio Fire Stn, 宏茂桥消防局之后
55219,Bef Ang Mo Kio Ave 9, 宏茂桥9道之前
55221,Opp SMRT Buses AMK Depot, SMRT 巴士宏茂桥Depot对面
55229,SMRT Buses AMK Depot, SMRT巴士宏茂桥Depot
55231,Opp SBST East District, SBST东区对面
55239,SBST East District, SBST东区
55241,Aft Yio Chu Kang Rd, Yio Chu Kang Rd对面
55249,Bef Yio Chu Kang Rd, Yio Chu Kang Rd对面
55251,Countryside Est, Countryside Est
55259,Opp Countryside Est, Countryside Est对面
55261,Bullion Pk Condo, Pk Condo对面
55269,Opp Bullion Pk Condo, Opp Bullion Pk Condo
55271,Aft Lentor Flyover, Lentor Flyover对面
55279,Lentor Flyover, Lentor Flyover
55281,Aft SLE, 大牌SLE
55289,LP 94, 义顺2道之后
55301,AMK Police Div HQ, 宏茂桥警察Div HQ
55309,Opp AMK Police Div HQ, 宏茂桥警察局HQ对面
55311,Opp Yio Chu Kang Stadium, 杨厝港体育场对面
55319,Yio Chu Kang Stadium, 杨厝港体育场对面
55321,Opp Nanyang Poly, 南洋Poly对面
55329,Nanyang Poly, 南洋Poly
55331,Aft Lentor Gr, Lentor Gr对面
55339,Aft Florissa Pk, Florissa Pk对面
55341,Opp Thomson Gr, Thomson Gr对面
55349,Thomson Gr, Thomson Gr
55351,Opp Fudu Wk P/G, 义顺2道之后
55361,Countryside Gdn P/G, 大牌G对面
55371,Aft Lentor St, Lentor St对面
55381,Bef Bullion Pk, Bullion Pk对面
55509,Yio Chu Kang Int, 杨厝港转换站
56019,Bef Ang Mo Kio Ave 1, Ang Mo Kio Ave 1对面
56021,Opp S'wang Hill FC, Opp S'wang Hill FC
56029,Bef Sembawang Hill FC, 大牌S'pore
56031,Bef Yio Chu Kang Rd, Yio Chu Kang Rd对面
56039,Aft Yio Chu Kang Rd, Yio Chu Kang Rd对面
56041,Opp Meadows @ Peirce, Meadows之后
56049,Meadows @ Peirce, 大牌Peirce对面
56051,Opp Tagore Rd, 大牌S'pore对面
56059,Bef Tagore Rd, 大牌S'pore对面
56061,Aft Tagore Dr, NTUC Fairprice之后
56069,Bef Tagore Dr, Bef NTUC Fairprice Ctr
56071,Bef Old Upp Thomson Rd, Old Upp Thomson Rd对面
56079,Aft Old Upp Thomson Rd, Old Upp Thomson Rd对面
56081,Bef SLE, 大牌SLE
56089,Aft SLE, 大牌SLE
56091,Bef Springleaf Rd, 大牌SLE
56099,Aft Springleaf Rd, Opp Former Seletar Inst
56191,Opp NPB Serangoon Depot, Opp NPB S'goon Depot
56199,NPB Serangoon Depot, 大牌Depot对面
56201,Aft Munshi Abdullah Ave, Ｇｅｙｌａｎｇ　Abdullah　Ave　之后
56209,Bef Thomson Hills Dr, Bef Thomson Hills Dr
56241,St. Nicholas Girls', St. Nichoals Girls'
56249,Opp St. Nicholas Girls', St. Nichoals Girls'对面
56251,Opp Horizon Gdns, Horizon公园对面
56259,Horizon Gdns, Horizon 公园
56261,Blk 248, 大牌248
56269,Opp Blk 248, 大牌248对面
56289,Bef Shangri-La Wk, Shangri-La Walk对面
57011,Opp Springleaf Nature Pk, Nessea Club对面
57019,Springleaf Nature Pk, Nessea Club
57021,Forest Hills Condo, Hills Condo对面
57029,Aft The Springside, The Springside对面
57031,Nee Soon Driclad Ctr, Nee Soon Driclad Ctr
57039,SPIRITUAL GRACE PRESBY CH, Spiritual Grace Presby Ch对面
57041,Nee Soon HQ 22 SIB, 义顺2道之后
57049,Opp Nee Soon HQ 22 SIB, Nee Soon HQ 22 SIB对面
57051,Aft Sembawang Air Base, 义顺2道之后
57059,Opp Sembawang Air Base, Opp Sembawang Air Base
57061,Dieppe Barracks, Dieppe Barracks
57069,Opp Dieppe Barracks, Dieppe Barracks对面
57071,Opp Khatib Camp, Khatib Camp对面
57079,Khatib Camp, Khatib Camp
57081,Opp Blk 713, 大牌713对面
57089,Blk 713, 大牌713
57111,Opp Blk 101, 大牌101对面
57119,Blk 101, 大牌101
57121,Opp Blk 115B, 大牌115B对面
57129,Blk 114, 大牌114
57131,Opp Jln Kemuning, Seletaris Condo
57139,Aft Jln Kemuning, Jln Kemuning对面
57141,Bef Upp Thomson Rd, Bef Upp Thomson Rd
57149,Aft Upp Thomson Rd, 义顺2道之后
58009,Sembawang Int, Sembawang Int
58011,Opp Sembawang Shop Ctr, Opp Sembawang Shop Ctr
58019,Aft Sembawang Shop Ctr, 义顺2道之后
58021,Bef Canberra Rd, Canberra Rd对面
58029,Aft Canberra Rd, Canberra Rd对面
58041,Blk 590C, 义顺2道之后
58049,Opp Blk 590C, Bef Yishun Ave 2
58051,Blk 592C, 大牌CC对面
58059,Opp Blk 592C, 大牌CC对面
58061,Aft Durban Rd, The Ashram对面
58069,Opp Durban Rd, The Ashram对面
58071,Bef Jln Basong, Trg Sch对面
58079,Aft Jln Basong, Opp Prison Trg Sch
58081,Opp Jln Janggus, Jln Janggus对面
58089,Aft Andrews Ave, Andrews Ave对面
58091,Sembawang Pk, Sembawang Pk
58099,Opp Sembawang Pk, Sembawang Pk对面
58101,Blk 311, 大牌311
58109,Opp Blk 311, 大牌311对面
58111,Blk 351 CP, 大牌CP对面
58119,Blk 502A, 大牌502A
58121,Blk 424A CP, 大牌CP对面
58129,Blk 508 CP, 大牌CP对面
58131,Aft Assyafaah Mque, Assyafaah Mque对面
58139,Bef Assyafaah Mque, Ottawa Rd对面
58141,Sembawang Camp, 三巴旺帐篷
58149,Opp Sembawang Shipyard G 8, 三巴旺船厂G 8对面
58151,Bef Sembawang Stn, Sembawang Stn对面
58159,Aft Admiral Hill, 义顺2道之后
58161,Bef Sembawang Shipyard G 3, 三巴旺船厂G 3 对面
58169,Aft HomeTeamNS Sembawang Resort, 三巴旺内政团队战备人员协会之后
58171,Sembawang Corp Industries, 三巴旺Corp Industries
58179,Opp Sembawang Corp Industries, 三巴旺Corp Industries对面
58181,Sembawang Drug Rehab Ctr, 三巴旺 Drug Rehab Ctr
